Datei,QI,IQQ,OCTA,PIPE3,PIPE6,PIPE9,PIPE12,reCALL,reORGANIZE,REOPTMIZED,REDEFRAG,REATTIKELLATE,reHIT,REfinal SETUP
6e,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
6d,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
12e,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
12d,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
48igkeit,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔
vector,✔,✔,✔,✔,✔,✖,✖,✔,✔,✔,✔,✔,✔,✔
PI,✔,✔,✔,✖,✖,✔,✖,✔,✔,✔,✔,✔,✔,✔
RUN,✔,✔,✖,✔,✔,✖,✖,✔,✔,✔,✖,✖,✔,✔
LIST,✔,✔,✔,✔,✖,✖,✖,✔,✔,✔,✔,✔,✔,✔
SCREEN,✔,✖,✔,✖,✔,✖,✖,✔,✔,✖,✖,✖,✔,✔
ROOM,✔,✔,✔,✖,✖,✖,✔,✔,✔,✔,✔,✔,✔,✔
OUT,✔,✖,✔,✖,✖,✔,✖,✔,✔,✔,✖,✖,✔,✔
IN,✔,✔,✖,✔,✖,✖,✖,✔,✔,✔,✔,✔,✔,✔
