Nr,Symbol,Bedeutung
1,A1,ARG‑Start
2,A2,ARG‑Linie
3,A3,ARG‑Zug
4,A4,ARG‑Block
5,A5,ARG‑Shift
6,A6,ARG‑Strike
7,X1,XARG‑Start
8,X2,XARG‑Risiko
9,X3,XARG‑Punkte
10,X4,XARG‑Gewichtung
11,X5,XARG‑Shift
12,X6,XARG‑Strike
13,R1,RESPO‑Start
14,R2,RESPO‑Scan
15,R3,RESPO‑Rebuild
16,R4,RESPO‑Fix
17,R5,RESPO‑Shift
18,R6,RESPO‑Strike
19,G1,Garantia‑Start
20,G2,Garantia‑Linie
21,G3,Garantia‑Balance
22,G4,Garantia‑Shift
23,G5,Garantia‑Strike
24,G6,Garantia‑Meta
25,U1,4u‑Start
26,U2,4u‑Ordnung
27,U3,4u‑Balance
28,U4,4u‑Shift
29,U5,4u‑Strike
30,U6,4u‑Meta
31,N1,NC‑Start
32,N2,NC‑Linie
33,N3,NC‑Meta
34,N4,NC‑Shift
35,N5,NC‑Strike
36,N6,NC‑OCTA
